DFIRM_ID,FIRM_PAN,PANEL,ST_FIPS,PCOMM,EFF_DATE,PRE_DATE,PANEL_TYP,eff_date,pre_date,county_fips
12017C,12017C0290E,0290,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0285E,0285,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0295E,0295,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0040E,0040,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0170E,0170,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0155E,0155,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0165E,0165,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0405E,0405,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0410E,0410,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0189E,0189,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0186E,0186,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0188E,0188,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0187E,0187,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0191E,0191,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0304E,0304,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0301E,0301,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0303E,0303,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0302E,0302,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0193E,0193,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0316E,0316,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0318E,0318,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0427E,0427,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0429E,0429,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0426E,0426,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0428E,0428,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0433E,0433,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0431E,0431,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0306E,0306,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0308E,0308,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0312E,0312,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
